subject_id,alpha_B,beta0_H,beta1_H
C3001,1.2163510114114042,0.08675148104100686,0.8000000000047652
C3002,0.6000000000013909,-0.06997901416401717,1.199999999670591
C3003,0.600000000000062,0.19999999997096518,0.8540369395296832
C3004,0.6000000000245801,-0.18894997778006237,1.1999998824026075
C3006,0.7520298426022203,0.1999999999567633,0.833268803498329
C3008,0.8704671794886798,0.05564264359558087,1.0343977690065393
C3009,0.6000000000000001,0.02792202409277254,0.9217726490509646
C3010,0.6000000000000533,0.14622675738616417,0.800000000604068
C3011,1.5999999999999859,0.19999999992954026,0.857135102768994
C3012,0.6000000000000001,-0.14491602245638643,1.1999999911142305
C3013,1.5999999999999561,0.17622175245543972,0.800000000066905
C3015,0.6000000000001154,0.19999999999701323,0.8694053444217679
C3016,0.6000000000007846,-0.13716050359560306,1.1999999996291548
C3017,0.6000000000039072,0.199999847316895,0.8009344508097945
C3021,0.6000000000046284,0.009319227971341014,1.199999999978706
C3023,0.6000000000006057,0.1999999999890091,0.974006277245961
C3027,1.4989586112364484,0.18081291975424074,0.800000000000004
C3028,0.9585825993752721,0.16373251968489072,0.8000000130141673
C3031,0.6000000000033663,0.11607267915830598,0.80000000000024
C3032,0.6766027662000685,0.19999999998606824,1.0120415673974443
C3034,0.6000000000009741,0.13293010622492565,0.8000000000860343
C3035,1.5999999999997256,-0.10218147049928068,1.158194098913575
C3037,1.5999999999999843,0.043848452710363195,1.1999999983308471
E5001,0.6000000000061858,-0.04587658236218539,1.1999999999953492
E5004,1.5999999999999646,0.1999999999994237,0.9311428803388979
E5009,0.6720474834592867,-0.19999997705886471,1.181891398517104
E5013,0.6000000000069557,-0.1999999993102908,1.1925628043212009
H4001,0.6000000000004506,0.17133177807407987,1.199999999966382
H4004,0.7554213061894123,0.15989871408382944,0.8000000000893517
H4006,0.6000000000279976,0.09976434309542206,1.1999999999878703
H4007,0.6000000000024889,0.19999999999651086,0.8454661846671734
H4010,1.5999999999999224,0.1999999999987451,0.9541294448468437
H4014,1.5999999999999832,0.19999999999049323,0.8604673671836927
H4015,1.3480832346283802,0.14510385995731598,0.8000000000010558
H4017,1.3278711020511054,0.06439632221241579,0.8000000000000086
H4019,0.6000000000064736,0.1999999999953479,0.986666482339016
H4020,0.6000000000077408,0.1999999999999996,0.8544638458710833
H4027,0.6000000000000606,0.19999999999999987,0.8111932879023077
H4031,0.7705847991032339,0.10510730312339497,0.8000000000113728
H4032,0.6000000000125378,-0.1823713016465635,1.199999968674744
H4035,0.6000000000005827,0.19999999971426102,0.9152704173321241
H4038,0.6000000000040565,0.19999999999650395,0.9731936511022778
H4039,0.6000000000002393,0.19764719810628487,0.8000000000000002
H4042,1.5999999999999555,-0.16343642081571247,1.1997012240282956
H4043,0.60000000000062,0.16760830772586982,0.8000000000087111
M2008,1.599999999999715,0.07509396542740626,0.9608379782788247
M2014,0.6847552447461251,0.19999999998452148,0.8688700675020882
M2021,0.6523752911965827,-0.19002519235684348,1.1999083390155745
M2025,0.6321729781401958,-0.1999999987569421,1.0457669377171113
M2026,0.6000000000006203,0.199999999997099,0.851204394638099
M2027,0.6000000000002558,0.199999999999526,0.8144027414988932
M2028,1.0442975156943748,0.19999999999972629,0.8054159431135808
M2034,1.5999999999999894,0.19999999918489614,0.909262944131925
M2064,1.599999999999986,0.19135691501495897,0.8000000000067885
M2068,1.5999999999999253,0.19999999999644624,0.8476542749906962
M2069,1.5999999999998573,0.04058463896445203,1.0208491643496527
M2071,1.5999999999999701,0.19999999999927803,0.8181809934110256
M2083,0.6000000000028899,-0.17570172662023367,1.1998480553803426
M2085,0.6000000000000375,0.12668218169607814,0.8000000002393274
P6005,0.6000000000003268,-0.07519309788564103,1.0612752062763229
P6009,1.1377342043813252,0.10285383734417733,0.8000000000028614
P6010,1.5999999999999766,-0.030261710859417215,1.199999999999894
P6013,0.9286948296932099,0.18806748315459432,0.8000000000085262
P6016,0.6298643561916618,0.14196634973324548,1.106569712372457
P6024,0.6000000000002328,0.19999999999675827,0.8509251316647344
P6028,0.6000000000040715,0.19999999999999996,0.8391790248016927
P6033,0.6000000000001728,0.199999999996693,0.8497243007278549
P6035,1.599999999999919,0.19999999657996947,0.8566523321614838
P6037,1.283760170419305,0.1050774859889857,0.931557596194906
P6038,0.6662628829699135,0.19999999999999857,0.8360141073421817
