,value,subject_id
r_max,0.32582185351887616,1
K_M,0.9840922639352944,1
c,0.0875075979031034,1
d,0.11067233060360927,1
g_A,0.2701767942460074,1
g_B,0.5151432948708948,1
u_A,0.6124390028389718,1
K_A,9.548333459904603,1
u_B,0.6158260611168216,1
K_B,7.903453550642461,1
pA_low,0.46088558439132754,1
pA_high,1.0894481676326273,1
pB_low,0.11893837630307044,1
pB_high,1.870234355044111,1
H_on,0.55124397340055,1
H_off,0.7231879216484757,1
tau_q,5.7688498280688245,1
alpha_A,0.3625459883315683,1
alpha_B,0.6773790405699769,1
